number,year,island,year.island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness,PC1,PC2,PC3
21,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,34,5.63,3.08,4.99,5.03,8.53,0,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.325956503,-0.172971263,0.157558693
22,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,35,6.44,2.68,4.41,5.5,8.95,1,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.592031265,0.613387958,-0.477483292
23,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,36,7.5,3.72,5.76,7.5,14.7,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-2.090201057,0.818454429,0.355106021
24,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,37,6.01,3.12,4.9,6,9.31,1,20,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.049005502,0.442216173,0.261474719
25,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,41,8.16,3.3,5.42,6.35,12.69,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.487111838,0.555847842,-0.683854951
26,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,43,8.39,3.67,5.53,5.1,11.95,1,20,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.610443509,-0.50693456,-0.867623905
27,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,44,7.42,3.84,4.74,5.87,12.23,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.018756104,-0.052069889,0.040751972
28,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,45,7.46,3.68,5.72,6.6,13.04,1,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.778267808,0.300395249,0.085061482
29,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,47,6.51,3.11,4.65,6.57,12.84,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.216723199,0.894095334,0.14438598
30,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,48,8.32,3.46,4.94,5.78,11.65,1,50,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.193137742,0.20254587,-0.798749212
31,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,49,6.45,3.42,5.13,6.02,10.75,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.618827432,0.203884107,0.268757903
32,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,50,6.82,3.32,4.5,6.1,11.07,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.274386796,0.499771439,0.012602569
33,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,53,6.32,3.68,4.67,6.03,11.18,1,30,1,NA,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.454892573,0.106259288,0.563759199
34,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,54,7.1,2.95,4.22,5.05,8.67,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.372085033,0.21962146,-0.746947992
35,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,55,7.98,3.56,4.75,5.61,11.52,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.960806257,0.039994127,-0.574981955
36,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,56,6.61,3.11,4.65,5.14,10.5,0,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.121346862,0.019518969,-0.323428363
37,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,57,6.61,2.89,4.86,6.68,10.8,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.25930586,1.089831403,-0.063307809
38,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,58,7.24,3.2,4.68,5.86,10.76,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.407640273,0.432848948,-0.390045743
39,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,60,6.67,2.68,4.63,6.05,10.34,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,0.204577924,0.918921394,-0.448670822
40,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,61,7.89,3.7,5.35,5.42,12.49,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.396985591,-0.327465651,-0.471947973
41,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,62,6.61,3.13,4.68,5.92,11.55,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.120737837,0.47831784,-0.082273573
42,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,63,5.2,2.71,3.68,4.45,7.94,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,1.837879437,0.020279486,-0.061193193
43,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,64,6.93,3.23,4.43,6.32,11.94,1,30,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.257859971,0.728197278,-0.058135634
44,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,65,7.86,3.57,5.15,5.7,10.39,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.220523503,-0.011837413,-0.47939146
45,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,66,6.71,3.33,5.13,6.41,10.81,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.754558745,0.531948256,0.163284005
46,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,67,7.83,3.79,4.69,6.16,11.7,0,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.183816659,0.205822924,-0.142853794
47,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,68,5.84,2.46,4.42,5.08,10.09,0,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,1.103215852,0.477681018,-0.448677464
48,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,70,8.9,3.71,5.29,6.45,14.07,1,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-2.033670418,0.386029316,-0.724080498
49,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,73,5.95,3.18,4.95,5.85,11.73,0,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-0.066698262,0.288073774,0.300260666
50,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,76,8.12,3.62,5.67,6.74,14.1,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Johnson,NA,NA,-1.994578281,0.491378197,-0.288256245
51,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,78,6.79,3.01,4.12,5.9,11.54,1,30,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,0.292325455,0.698312651,-0.2796282
52,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,79,8.67,3.76,5.85,4.91,9.6,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.960916996,-0.745822511,-1.006898542
53,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,80,6.88,3.56,4.6,4.68,9.37,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.178121291,-0.578144564,-0.233399589
54,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,81,7.26,3.14,4.77,5.3,10.1,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.283172904,0.114463062,-0.613283728
55,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,82,7.49,3.09,5.1,5.12,9.6,1,50,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.514920981,-0.016860198,-0.837692964
56,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,83,7.37,3.23,4,4.92,9.47,1,20,1,NA,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.234391634,-0.005617572,-0.69990161
57,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,84,6.37,3.56,4.52,5.94,12.43,1,20,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.254499491,0.180433883,0.412987981
58,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,85,7.8,4.06,5.45,4.53,9.13,1,30,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,-1.474504463,-1.181269413,-0.383110862
59,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,86,7.69,3.85,5.51,6.59,12.03,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.85347629,0.22828006,0.097936692
60,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,87,6.31,2.93,4.34,4.15,9.34,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.85410383,-0.403943987,-0.587911339
61,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,89,6.77,3.08,5.53,4.26,7.53,1,30,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,-0.292361593,-0.688979415,-0.701396863
62,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,90,6.55,3.6,5.09,5.57,9.28,1,40,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,-0.651460498,-0.195218306,0.232700951
63,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,91,7.62,3.33,5.03,6.83,11.99,1,40,1,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,NA,,,Emery,NA,NA,-1.155461263,0.878914532,-0.217309401
64,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,92,7.98,3.54,4.76,5.8,10.75,1,30,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,-1.002348583,0.17019509,-0.536797542
65,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,93,8.1,4.44,5.7,6.64,11.62,1,30,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,,,Emery,NA,NA,-2.616651709,-0.206777472,0.370270479
66,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,94,8.09,3.77,5.89,5.74,10.37,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.98658227,-0.292381681,-0.439103519
