year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,32,7.63,2.86,,10.64,,1,,0,,,,,,,,0,,,,,,,,,,,0.036,NA
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,33,7.89,3.35,,NA,,1,,1,,1,1,1,0,0,0,0,,,,,,,,,,,0.084,0.86
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,34,8.32,3.32,,10.23,,0,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.062,0.65
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,35,7.08,3.6,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.08,0.9
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,36,7.98,3.38,,12.27,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.087,0.74
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,37,7.97,3.12,,12.3,,1,,0,,,,,,,,0,,,,,,,,,,,0.091,0.54
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,38,7.05,3.01,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.058,0.68
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,39,8.31,3.53,,12.5,,1,,0,,,,,,,,0,,,,,,,,,,,0.114,0.68
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,40,7.92,3.3,,10.68,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.096,0.83
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,41,6.06,3.64,,10.03,,0,,1,,1,1,0,0,0,0,0,,,,,,,,,,,0.069,0.89
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,42,8.86,3.62,,NA,,1,,1,,1,1,1,0,0,0,0,,,,,,,,,,,0.118,0.87
